Starting package installation. Logging to /run/media/superuser/e2df11b3-fbd5-4ebb-afc2-0992431fb5c4/Code/Terminal/Ansible-Playbook-Fedora-Workstation/Scripts/../logs/packages_20260906_160833.log...
Updating and loading repositories:
Repositories loaded.
Failed to resolve the transaction:
Package "7zip-26.02-1.fc44.x86_64" is already installed.
Package "snapd-2.76-0.fc44.x86_64" is already installed.
Package "tmux-3.7c-1.fc44.x86_64" is already installed.
Package "kdegraphics-thumbnailers-26.08.0-1.fc44.x86_64" is already installed.
Package "kio-admin-26.08.0-1.fc44.x86_64" is already installed.
Package "kio-extras-26.08.0-1.fc44.x86_64" is already installed.
Package "kio-fuse-5.1.1-3.fc44.x86_64" is already installed.
Package "kio-gdrive-26.08.0-1.fc44.x86_64" is already installed.
Package "krdc-26.08.0-1.fc44.x86_64" is already installed.
Package "dolphin-plugins-26.08.0-1.fc44.x86_64" is already installed.
Package "ansible-13.8.0-1.fc44.noarch" is already installed.
Package "nbdkit-1.48.1-1.fc44.x86_64" is already installed.
Package "swtpm-0.10.2-1.fc44.x86_64" is already installed.
Package "qemu-img-2:10.2.2-1.fc44.x86_64" is already installed.
Package "cockpit-bridge-367-1.fc44.noarch" is already installed.
Package "cockpit-networkmanager-367-1.fc44.noarch" is already installed.
Package "cockpit-storaged-367-1.fc44.noarch" is already installed.
Package "cockpit-system-367-1.fc44.noarch" is already installed.
Package "cockpit-ws-367-1.fc44.x86_64" is already installed.
Package "cockpit-ws-selinux-367-1.fc44.x86_64" is already installed.
Package "fail2ban-1.1.0-16.fc44.noarch" is already installed.
Package "fail2ban-firewalld-1.1.0-16.fc44.noarch" is already installed.
Package "nmap-ncat-4:7.92-11.fc44.x86_64" is already installed.
No match for argument: zoom
Package "google-noto-color-emoji-fonts-20250623-4.fc44.noarch" is already installed.
Group "virtualization" is already installed.
Package "virt-install-5.1.0-4.fc44.noarch" is already installed.
Package "libvirt-daemon-config-network-12.0.0-3.fc44.x86_64" is already installed.
Package "libvirt-daemon-kvm-12.0.0-3.fc44.x86_64" is already installed.
Package "qemu-kvm-2:10.2.2-1.fc44.x86_64" is already installed.
Package "virt-manager-5.1.0-4.fc44.noarch" is already installed.
Package "virt-viewer-11.0-18.fc44.x86_64" is already installed.
You can try to add to command line:
  --skip-unavailable to skip unavailable packages
